species,decimalLatitude,decimalLongitude,eventDate,country,stateProvince,basisOfRecord
Prosopis cineraria,26.85989,74.039692,2026-01-17T14:21,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,26.878703,74.021102,2026-01-17T14:17,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,26.90837,73.985637,2026-01-17T14:15,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,24.890048,55.432716,2026-01-10T16:34:35,United Arab Emirates,Dubay,HUMAN_OBSERVATION
Prosopis cineraria,24.876153,55.577988,2026-01-08T15:59:37,United Arab Emirates,Dubay,HUMAN_OBSERVATION
Prosopis cineraria,25.094083,72.197328,2026-01-22T13:55:39,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,26.719688,70.595438,2026-01-12T16:19,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,26.719688,70.595438,2026-01-12T16:19,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,26.719688,70.595438,2026-01-12T16:19,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,26.719688,70.595438,2026-01-12T16:19,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,26.719688,70.595438,2026-01-12T16:19,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,26.719688,70.595438,2026-01-12T16:19,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,26.719688,70.595438,2026-01-12T16:19,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,25.296671,75.940518,2026-02-08T11:43,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,24.83751,55.381858,2026-02-22T17:19,United Arab Emirates,Dubay,HUMAN_OBSERVATION
Prosopis cineraria,23.258842,69.219445,2026-02-06T08:59:56,India,Gujarat,HUMAN_OBSERVATION
Prosopis cineraria,23.231141,68.978925,2026-03-28T08:54:30,India,Gujarat,HUMAN_OBSERVATION
Prosopis cineraria,25.217941,55.44439,2026-03-25T08:23:18,United Arab Emirates,Dubay,HUMAN_OBSERVATION
Prosopis cineraria,18.054199,79.533894,2026-03-18T10:49:44,India,Telangana,HUMAN_OBSERVATION
Prosopis cineraria,24.184988,72.080702,2026-03-18T09:47:03,India,Gujarat,HUMAN_OBSERVATION
Prosopis cineraria,24.392728,54.647713,2026-03-27T12:46:17,United Arab Emirates,Abu Dhabi,HUMAN_OBSERVATION
Prosopis cineraria,24.801029,55.623178,2026-03-29T10:41:50,United Arab Emirates,Dubay,HUMAN_OBSERVATION
Prosopis cineraria,24.959504,55.154867,2026-04-03T12:18:16,United Arab Emirates,Dubay,HUMAN_OBSERVATION
Prosopis cineraria,19.209939,73.017439,2026-04-25T09:04:07,India,Maharashtra,HUMAN_OBSERVATION
Prosopis cineraria,24.851864,55.26934,2026-04-24T08:14:43,United Arab Emirates,Dubay,HUMAN_OBSERVATION
Prosopis cineraria,24.155834,55.680307,2026-04-26T06:31:59,United Arab Emirates,Abu Dhabi,HUMAN_OBSERVATION
Prosopis cineraria,24.445672,54.389685,2026-04-24T08:21:38,United Arab Emirates,Abu Dhabi,HUMAN_OBSERVATION
Prosopis cineraria,24.530038,54.403372,2026-04-25T18:23:17,United Arab Emirates,Abu Dhabi,HUMAN_OBSERVATION
Prosopis cineraria,24.985095,55.22693,2026-04-24T08:10:20,United Arab Emirates,Dubay,HUMAN_OBSERVATION
Prosopis cineraria,25.138283,55.85443,2026-04-05T18:39:32,United Arab Emirates,Sharjah,HUMAN_OBSERVATION
Prosopis cineraria,25.223219,55.448154,2026-04-23T18:23:35,United Arab Emirates,Dubay,HUMAN_OBSERVATION
Prosopis cineraria,29.887889,73.913478,2026-04-15T09:35,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,24.857647,55.289897,2026-04-24T07:00:18,United Arab Emirates,Dubay,HUMAN_OBSERVATION
